publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	full_coverage	collection	discipline	catalog_identifier_oclc	catalog_identifier_lccn
African American Review	10624783		1992-04-01	26	1	2012-12-01	45	4	http://www.jstor.org/journal/afriamerrevi		afriamerrevi	P4Y	fulltext		African American Review (St. Louis University)	serial							blacamerliteforu	P	1992-04-01 - 2012-12-01	For-Profit Academic Arts & Sciences I Collection ; Public Library I Collection ; Arts & Sciences I Collection ; Corporate & For-Profit Access Initiative Collection ; Language & Literature Collection ; For-Profit Academic Language & Literature Collection	African American Studies ; American Studies ; Area Studies ; Humanities ; Language & Literature	40892739	sn99-23369
The African Archaeological Review	02630338	15729842	1983-01-01	1		2012-12-01	29	4	http://www.jstor.org/journal/afriarchrevi		afriarchrevi	P4Y	fulltext		Springer	serial								P	1983-01-01 - 2012-12-01	For-Profit Academic Arts & Sciences VI Collection ; Arts & Sciences VI Collection ; Public Library I Collection	African Studies ; Archaeology ; Area Studies ; Social Sciences	44513179	2004-233336
African Arts	00019933		1967-10-01	1	1	2010-12-01	43	4	http://www.jstor.org/journal/africanarts		africanarts	P6Y	fulltext		UCLA James S. Coleman African Studies Center	serial								P	1967-10-01 - 2010-12-01	Arts & Sciences VII Collection	African Studies ; Area Studies ; Art & Art History ; Arts	38364090	2006-236965
African Conflict and Peacebuilding Review	2156695X	21567263	2011-04-01	1	1	2012-10-01	2	2	http://www.jstor.org/journal/africonfpeacrevi		africonfpeacrevi	P4Y	fulltext		Indiana University Press	serial								P	2011-04-01 - 2012-10-01	African & African American Studies Discipline Package ; Arts & Sciences IX Collection	African Studies ; Area Studies	651009014	2010-202054
African Economic History	01452258		1976-04-01		1	2011-01-01	39		http://www.jstor.org/journal/afrieconhist		afrieconhist	P4Y	fulltext		African Studies Program, University of Wisconsin-Madison	serial							afrieconhistrevi	P	1976-04-01 - 2011-01-01	Arts & Sciences VII Collection ; Business & Economics Collection	African Studies ; Area Studies ; Business & Economics ; Economics ; History ; History	60619248	2006-237056
African Economic History Review	03606333		1974-04-01	1	1	1975-10-01	2	2	http://www.jstor.org/journal/afrieconhistrevi		afrieconhistrevi	P4Y	fulltext		African Studies Program, University of Wisconsin-Madison	serial						afrieconhist		P	1974-04-01 - 1975-10-01	Arts & Sciences VII Collection ; Business & Economics Collection	African Studies ; Area Studies ; Business & Economics ; Economics ; History ; History	76886078	2006-237057
African Historical Studies	00019992		1968-01-01	1	1	1971-01-01	4	1	http://www.jstor.org/journal/afrihiststud		afrihiststud	P4Y	fulltext		Boston University African Studies Center	serial						intejafrihiststu		P	1968-01-01 - 1971-01-01	Arts & Sciences II Collection	African Studies ; Area Studies ; History ; History	48537230	2001-227402
African Issues	15484505		2000-01-01	28	1/2	2003-01-01	31/32		http://www.jstor.org/journal/africanissues		africanissues		fulltext	Coverage presently ends at 2012. JSTOR will resume a moving wall of 5 years in 2018.

Note: There is currently no additional content for <cite>African Issues</cite> due to a temporary suspension of publishing by the publisher.	Cambridge University Press	serial							issuejopinion	P	2000-01-01 - 2003-01-01	Arts & Sciences VII Collection	African Studies ; Area Studies	56137807	2004-236883
